Source,Target
Carl Friedrich Gauss,abstract algebra
Carl Friedrich Gauss,algebra
Carl Friedrich Gauss,algebraic number theory
Carl Friedrich Gauss,analysis
Carl Friedrich Gauss,arithmetic
Carl Friedrich Gauss,differential geometry
Carl Friedrich Gauss,euclidean geometry
Carl Friedrich Gauss,geometry
Carl Friedrich Gauss,non-euclidean geometry
Carl Friedrich Gauss,number theory
Carl Friedrich Gauss,statistics
Carl Friedrich Gauss,topology
Gerardus Mercator,analysis
Gerardus Mercator,arithmetic
Gerardus Mercator,geometry
Gerardus Mercator,trigonometry
Sophie Germain,algebra
Sophie Germain,analysis
Sophie Germain,applied mathematics
Sophie Germain,geometry
Sophie Germain,number theory
Sophie Germain,pure mathematics
Leonhard Euler,algebra
Leonhard Euler,analysis
Leonhard Euler,analytic number theory
Leonhard Euler,calculus
Leonhard Euler,calculus of variations
Leonhard Euler,complex analysis
Leonhard Euler,differential calculus
Leonhard Euler,differential geometry
Leonhard Euler,elementary mathematics
Leonhard Euler,geometry
Leonhard Euler,graph theory
Leonhard Euler,infinitesimal analysis
Leonhard Euler,infinitesimal calculus
Leonhard Euler,integral calculus
Leonhard Euler,mathematical sciences
Leonhard Euler,number theory
Leonhard Euler,set theory
Leonhard Euler,topology
Leonhard Euler,trigonometry
Galileo Galilei,algebra
Galileo Galilei,analysis
Galileo Galilei,geometry
Galileo Galilei,theoretical physics
Nicolaus Copernicus,analysis
Nicolaus Copernicus,arithmetic
Nicolaus Copernicus,calculus
Nicolaus Copernicus,geometry
Nicolaus Copernicus,trigonometry
André-Marie Ampère,analysis
André-Marie Ampère,applied mathematics
André-Marie Ampère,tensor
Isaac Newton,algebra
Isaac Newton,analysis
Isaac Newton,calculus
Isaac Newton,coordinate geometry
Isaac Newton,geometry
Isaac Newton,infinitesimal calculus
Isaac Newton,mathematical sciences
Isaac Newton,statistics
August Ferdinand Möbius,geometry
August Ferdinand Möbius,number theory
August Ferdinand Möbius,projective geometry
Colin MacLaurin,algebra
Colin MacLaurin,arithmetic
Colin MacLaurin,geometry
Joseph Fourier,algebra
Joseph Fourier,analysis
Joseph Fourier,computer algebra
Joseph Fourier,harmonic analysis
Joseph Fourier,mathematical physics
Augustin-Louis Cauchy,abstract algebra
Augustin-Louis Cauchy,algebra
Augustin-Louis Cauchy,analysis
Augustin-Louis Cauchy,calculus
Augustin-Louis Cauchy,complex analysis
Augustin-Louis Cauchy,differential geometry
Augustin-Louis Cauchy,function theory
Augustin-Louis Cauchy,geometry
Augustin-Louis Cauchy,group theory
Augustin-Louis Cauchy,infinitesimal analysis
Augustin-Louis Cauchy,infinitesimal calculus
Augustin-Louis Cauchy,mathematical physics
Augustin-Louis Cauchy,non-standard analysis
Augustin-Louis Cauchy,pure mathematics
Augustin-Louis Cauchy,set theory
Augustin-Louis Cauchy,tensor
Augustin-Louis Cauchy,theoretical physics
Johannes Kepler,analysis
Johannes Kepler,calculus
Johannes Kepler,geometry
Johannes Kepler,harmonic analysis
Johannes Kepler,integral calculus
Johannes Kepler,mathematical physics
Johannes Kepler,numerical analysis
Johannes Kepler,projective geometry
Johannes Kepler,solid geometry
Gottfried Wilhelm Leibniz,actuarial science
Gottfried Wilhelm Leibniz,algebra
Gottfried Wilhelm Leibniz,analysis
