mathematician,country
Carl Friedrich Gauss,Confederation of the Rhine
Carl Friedrich Gauss,Kingdom of Hanover
Gerardus Mercator,Habsburg Netherlands
Sophie Germain,France
Leonhard Euler,Kingdom of Prussia
Leonhard Euler,Russian Empire
Leonhard Euler,Old Swiss Confederacy
Galileo Galilei,Grand Duchy of Tuscany
Galileo Galilei,Duchy of Florence
Nicolaus Copernicus,Kingdom of Poland
André-Marie Ampère,France
Isaac Newton,Great Britain
Isaac Newton,Kingdom of England
Johann Franz Encke,Kingdom of Prussia
August Ferdinand Möbius,Kingdom of Saxony
Colin MacLaurin,Great Britain
Colin MacLaurin,Kingdom of Scotland
Joseph Fourier,France
Augustin-Louis Cauchy,France
Johannes Kepler,Holy Roman Empire
Gottfried Wilhelm Leibniz,Electorate of Saxony
Wilhelm Schickard,Germany
Wilhelm Schickard,Duchy of Württemberg
Pierre-Simon Laplace,France
Carsten Niebuhr,Duchy of Bremen and Verden
Carsten Niebuhr,Duchy of Holstein
Georg Simon Ohm,Kingdom of Bavaria
Adolphe Quetelet,Belgium
Christoph Rudolff,Holy Roman Empire
Mikhail Vassilyevich Lomonosov,Russian Empire
Adam Olearius,Duchy of Schleswig
Adam Olearius,Roman Catholic Diocese of Halberstadt
Johannes Valentinus Andreae,Duchy of Württemberg
Sebastian Münster,Switzerland
Sebastian Münster,Germany
Maximilian Hell,Hungary
Franz Ernst Neumann,Kingdom of Prussia
Abraham Gotthelf Kästner,Germany
Johann Christian Martin Bartels,Russian Empire
Johann Christian Martin Bartels,Confederation of the Rhine
Giordano Bruno,Kingdom of Naples
Thomas Hobbes,Kingdom of England
Christiaan Huygens,Dutch Republic
Karl Mollweide,Germany
Karl Mollweide,Holy Roman Empire
Charles Babbage,United Kingdom of Great Britain and Ireland
Edmond Halley,Great Britain
Johann Sturm,Germany
Pierre de Fermat,France
Michael Maestlin,Holy Roman Empire
Jacob Theodor Klein,Polish–Lithuanian Commonwealth
Regiomontanus,Holy Roman Empire
Christian Wolff,Kingdom of Prussia
René Descartes,France
Immanuel Kant,Kingdom of Prussia
Georg Christoph Lichtenberg,Landgraviate of Hesse-Darmstadt
Jean-Baptiste Biot,France
Petrus Apianus,Electorate of Saxony
Simon Marius,Principality of Ansbach
Christopher Clavius,Germany
Athanasius Kircher,Holy Roman Empire
Michael Stifel,Germany
Johannes Stöffler,Germany
Georg Bernhard Bilfinger,Russian Empire
Johann Peter Süssmilch,Germany
Johann Samuel König,Germany
Christian Ludwig Gerling,Germany
William Petty,United Kingdom
Franz Aepinus,Germany
Franz Aepinus,Russian Empire
August Ludwig von Schlözer,Hohenlohe-Kirchberg
Peter Andreas Hansen,Duchy of Schleswig
Johan Gabriel Doppelmayr,Germany
René Antoine Ferchault de Réaumur,France
Thomas Reid,Great Britain
Ludolph van Ceulen,Germany
Nicole Oresme,Kingdom of France
Christoph Gudermann,Holy Roman Empire
Christoph Gudermann,German Confederation
Christoph Gudermann,Confederation of the Rhine
Johann Friedrich Pfaff,Germany
Karl Georg Christian von Staudt,Kingdom of Bavaria
Johann Matthäus Hassencamp,Germany
Thomas Fincke,Denmark
Thomas Fincke,Germany
Michael Adelbulner,Germany
Johann Friedrich Hennert,Germany
Jean-Baptiste Joseph Delambre,France
Bernard Le Bovier de Fontenelle,France
Ruđer Josip Bošković,Republic of Ragusa
Farkas Bolyai,Austrian Empire
William Whewell,United Kingdom of Great Britain and Ireland
Vavrinec Benedikt of Nedožery,Kingdom of Hungary
James Gregory,Kingdom of Scotland
Étienne-Louis Malus,France
Thomas Harriot,Kingdom of England
Guidobaldo del Monte,Grand Duchy of Tuscany
John Wilson,Great Britain
Adam Adamandy Kochański,Polish–Lithuanian Commonwealth
Adam Freytag,Polish–Lithuanian Commonwealth
Louis-Benjamin Francœur,France
Johann Bernoulli,Switzerland
"Georges-Louis Leclerc, Comte de Buffon",France
Frans van Schooten,Netherlands
Pierre Méchain,France
Edward Sabine,Great Britain
Edward Sabine,United Kingdom of Great Britain and Ireland
Edward Sabine,Kingdom of Ireland
William Oughtred,Kingdom of England
Giovanni Alfonso Borelli,Kingdom of Naples
Claude-Louis Navier,France
"Charles Stanhope, 3rd Earl Stanhope",Great Britain
Gabriel Lamé,France
Auguste Comte Xavier,France
John Frederick William Herschel,United Kingdom of Great Britain and Ireland
Giovanni Domenico Cassini,France
Carl Hindenburg,Germany
Christian Samuel Weiss,Holy Roman Empire
Heinrich Wilhelm Brandes,Germany
Anders Celsius,Sweden
Georg von Peuerbach,Austria
Andreas von Ettingshausen,Austria
Christopher Polhem,Sweden
Jeremiah Horrocks,United Kingdom of Great Britain and Ireland
Willebrord Snellius,Kingdom of the Netherlands
Olry Terquem,France
Johannes de Sacrobosco,United Kingdom of Great Britain and Ireland
Christian August Hausen,Germany
Johannes Praetorius,Germany
Gaspar Schott,Germany
Charles Dupin,France
Giovanni Plana,Kingdom of Italy
István Hatvani,Hungary
Thomas Digges,Kingdom of England
Jan Śniadecki,Russian Empire
Edmund Gunter,United Kingdom
Andreas Böhm,Germany
Andreas Cellarius,Holy Roman Empire
Andreas Cellarius,Dutch Republic
James Ivory,United Kingdom of Great Britain and Ireland
Rasmus Bartholin,Denmark–Norway
Charles Étienne Louis Camus,France
Nicholas Mercator,Germany
Edward Waring,Great Britain
Georg Stiernhielm,Sweden
Vincenzo Viviani,Grand Duchy of Tuscany
Michel Chasles,France
Scipione del Ferro,Papal States
Scipione del Ferro,Lordship of Bologna
Robert Recorde,Wales
Jacopo Riccati,Republic of Venice
Johan de Witt,Dutch Republic
Paolo dal Pozzo Toscanelli,Republic of Florence
Christen Sørensen Longomontanus,Denmark
George Green,Great Britain
George Green,United Kingdom of Great Britain and Ireland
Caspar Wessel,Norway
Caspar Wessel,Denmark
Jean Léonard Marie Poiseuille,France
Jacques Babinet,France
Joseph-Louis Lagrange,France
Joseph-Louis Lagrange,Kingdom of Sardinia
Georg Joachim Rheticus,Holy Roman Empire
Johann Georg von Soldner,Germany
Gottfried Heinsius,Germany
Gilles de Roberval,France
Louis Poinsot,France
Maine de Biran,France
Petrus Ramus,Kingdom of France
José Celestino Mutis y Bosio,Spain
Adhémar Jean Claude Barré de Saint-Venant,France
Isaac Beeckman,Dutch Republic
Georg Wolfgang Krafft,Germany
Georg Wolfgang Krafft,Russian Empire
Pierre Varignon,France
Otto Heurnius,Dutch Republic
Irénée-Jules Bienaymé,France
Giovanni Antonio Magini,Republic of Venice
John of Głogów,Poland
Jakob Hermann,Switzerland
Jakob Hermann,Russian Empire
Abraham Zacuto,Crown of Castile
John Pell,United Kingdom
Elena Cornaro Piscopia,Republic of Venice
William Whiston,Great Britain
Pedro Nunes,Kingdom of Portugal
James Stirling,Great Britain
Francesco Algarotti,Republic of Venice
David Herlitz,Germany
Pietro Mengoli,Papal States
Colin Mackenzie,Great Britain
Giulio Alenio,Republic of Venice
Joseph Raphson,Great Britain
Nathaniel Bliss,Great Britain
Guillaume Postel,France
Denis Papin,Kingdom of France
Bernhard Friedrich Thibaut,Germany
Alexandre-Théophile Vandermonde,France
Anders Johan Lexell,Sweden
Anders Johan Lexell,Russian Empire
Jan Śniadecki,Polish–Lithuanian Commonwealth
Jacques Philippe Marie Binet,France
Anselme Payen,France
Pierre-Simon Girard,France
Johannes Stabius,Austria
Johannes Stabius,Germany
Jean-Marie Duhamel,France
James Short,Great Britain
Laura Bassi,Papal States
Erasmus Reinhold,Germany
John Greaves,Kingdom of England
Louis Godin,France
Nevil Maskelyne,United Kingdom of Great Britain and Ireland
August Leopold Crelle,Kingdom of Prussia
Evangelista Torricelli,Grand Duchy of Tuscany
David Rittenhouse,United States of America
Karl Heinrich Gräffe,Germany
John Playfair,United Kingdom of Great Britain and Ireland
Vasilii Adodourov,Russian Empire
Johan Ludvig Heiberg,Denmark
Erland Samuel Bring,Sweden
Thomas Wright,Great Britain
Samuel Morland,Kingdom of England
Roger Cotes,Great Britain
"William Brouncker, 2nd Viscount Brouncker",Kingdom of England
Albert Brudzewski,Kingdom of Poland
John Colson,Great Britain
George Peacock,United Kingdom of Great Britain and Ireland
Nicolaus Mulerius,Netherlands
Jan Brożek,Polish–Lithuanian Commonwealth
Wenceslaus Johann Gustav Karsten,Germany
Johann Ernst Zeiher,Germany
Willem 's Gravesande,Netherlands
Edward Bromhead,Republic of Ireland
Edward Bromhead,Great Britain
Edward Bromhead,United Kingdom of Great Britain and Ireland
Joseph Sauveur,France
Nikolai Brashman,Russian Empire
Nikolai Brashman,Austrian Empire
William Wallace,Great Britain
William Wallace,United Kingdom of Great Britain and Ireland
Daniel Bernoulli,Switzerland
Jacob Bernoulli,Switzerland
Nikolai Ivanovich Lobachevsky,Russian Empire
Jakob Steiner,Switzerland
Johann III Bernoulli,Switzerland
Nicolaus I Bernoulli,Switzerland
Nicolaus II Bernoulli,Switzerland
Nicolaus II Bernoulli,Russian Empire
Leonty Magnitsky,Russian Empire
Pieter van Musschenbroek,Netherlands
Giovanni Battista Amici,Duchy of Modena and Reggio
Nicolas Carnot,France
Leon Battista Alberti,Republic of Genoa
Gabriel Cramer,Republic of Geneva
Burchard de Volder,Netherlands
Martin Ohm,Kingdom of Bavaria
Vitello,Poland
Vitello,Czech Silesia
Robert Woodhouse,United Kingdom
Amédée-François Frézier,France
Amédée-François Frézier,Duchy of Savoy
Temple Chevallier,Great Britain
Temple Chevallier,United Kingdom of Great Britain and Ireland
William Hopkins,United Kingdom of Great Britain and Ireland
Johannes de Muris,France
Johannes Hudde,Dutch Republic
Nicolas Fuss,Switzerland
Nicolas Fuss,Russian Empire
Henry Cavendish,Great Britain
Henry Cavendish,United Kingdom of Great Britain and Ireland
Thomas Jones,Wales
Thomas Jones,Great Britain
Thomas Jones,United Kingdom of Great Britain and Ireland
John Napier,Kingdom of Scotland
Caspar Peucer,Germany
Ole Rømer,Denmark
Jean Sylvain Bailly,France
Thomas Carlyle,Scotland
Thomas Carlyle,United Kingdom of Great Britain and Ireland
Olinde Rodrigues,France
Jérôme Lalande,France
Jean-Victor Poncelet,France
David Brewster,United Kingdom of Great Britain and Ireland
Christopher Wren,Great Britain
Christopher Wren,Kingdom of England
Roger Bacon,Kingdom of England
Nicholas of Cusa,Germany
Brook Taylor,England
Brook Taylor,United Kingdom
Ernst Chladni,Germany
Ernst Chladni,Holy Roman Empire
Ernst Chladni,Kingdom of Prussia
Franz Josef Gerstner,Kingdom of Bohemia
Franz Josef Gerstner,Austrian Empire
Franz Josef Gerstner,Habsburg monarchy
Johann Christian Ludwig Hellwig,Germany
