mathematician,doctoralStudent
Carl Friedrich Gauss,Sophie Germain
Carl Friedrich Gauss,Bernhard Riemann
Carl Friedrich Gauss,Johann Franz Encke
Carl Friedrich Gauss,Johann Benedict Listing
Carl Friedrich Gauss,Heinrich Christian Schumacher
Carl Friedrich Gauss,Christian Ludwig Gerling
Carl Friedrich Gauss,Friedrich Bessel
Gerardus Mercator,
Carl Friedrich Gauss,Friedrich Wilhelm Spehr
Carl Friedrich Gauss,Wilhelm Klinkerfues
Sophie Germain,
Leonhard Euler,
Carl Friedrich Gauss,Richard Dedekind
Carl Friedrich Gauss,Karl Georg Christian von Staudt
Carl Friedrich Gauss,Moritz Abraham Stern
Carl Friedrich Gauss,Karl Heinrich Gräffe
Carl Friedrich Gauss,Moritz Ludwig George Wichmann
Galileo Galilei,Vincenzo Viviani
Galileo Galilei,Giuseppe Biancani
Galileo Galilei,Benedetto Castelli
Galileo Galilei,Mario Guiducci
Nicolaus Copernicus,Georg Joachim Rheticus
André-Marie Ampère,Jean-Daniel Colladon
Isaac Newton,
Johann Franz Encke,Karl Christian Bruhns
Johann Franz Encke,Leopold Kronecker
Johann Franz Encke,Franz Woepcke
Johann Franz Encke,August Ephraim Kramer
Johann Franz Encke,Heinrich Louis d'Arrest
Johann Franz Encke,Joseph Raatz
August Ferdinand Möbius,Hermann Hankel
August Ferdinand Möbius,Heinrich Richard Baltzer
August Ferdinand Möbius,Wilhelm Fiedler
August Ferdinand Möbius,Ferdinand Oscar Werner
Colin MacLaurin,
Joseph Fourier,Johann Peter Gustav Lejeune Dirichlet
Joseph Fourier,Claude-Louis Navier
Joseph Fourier,Giovanni Plana
Augustin-Louis Cauchy,Mikhail Ostrogradsky
Augustin-Louis Cauchy,Viktor Bunyakovsky
Johannes Kepler,
Gottfried Wilhelm Leibniz,Christian Wolff
Gottfried Wilhelm Leibniz,Jacob Bernoulli
August Ferdinand Möbius,Otto von Littrow
August Ferdinand Möbius,Rudolf Sonndorfer
Wilhelm Schickard,
Pierre-Simon Laplace,Siméon Denis Poisson
Pierre-Simon Laplace,Mikhail Ostrogradsky
Carsten Niebuhr,
Georg Simon Ohm,
Adolphe Quetelet,Joseph Plateau
Adolphe Quetelet,Edmund Jakob Külp
Christoph Rudolff,
Mikhail Vassilyevich Lomonosov,
Adam Olearius,
Johannes Valentinus Andreae,
Gottfried Wilhelm Leibniz,Nicolas Malebranche
Sebastian Münster,
Maximilian Hell,
Franz Ernst Neumann,Gustav Kirchoff
Franz Ernst Neumann,Alfred Clebsch
Franz Ernst Neumann,Georg Hermann Quincke
Franz Ernst Neumann,Woldemar Voigt
Franz Ernst Neumann,Friedrich Heinrich Albert Wangerin
Franz Ernst Neumann,Oscar Emil Meyer
Franz Ernst Neumann,Louis Saalschütz
Abraham Gotthelf Kästner,Georg Christoph Lichtenberg
Abraham Gotthelf Kästner,Johann Christian Polycarp Erxleben
Abraham Gotthelf Kästner,Heinrich Wilhelm Brandes
Abraham Gotthelf Kästner,Johann Christian Martin Bartels
Abraham Gotthelf Kästner,Karl Christian von Langsdorf
Abraham Gotthelf Kästner,Johann Friedrich Pfaff
Abraham Gotthelf Kästner,Bernhard Friedrich Thibaut
Abraham Gotthelf Kästner,Georg Simon Klügel
Abraham Gotthelf Kästner,Johann Tobias Mayer
Abraham Gotthelf Kästner,Farkas Bolyai
Abraham Gotthelf Kästner,Johann Nikolaus Müller
Johann Christian Martin Bartels,Nikolai Ivanovich Lobachevsky
Giordano Bruno,
Thomas Hobbes,
Christiaan Huygens,Gottfried Wilhelm Leibniz
Karl Mollweide,Moritz Wilhelm Drobisch
