mathematician,fieldOfWork
Carl Friedrich Gauss,mathematical analysis
Carl Friedrich Gauss,electromagnetism
Carl Friedrich Gauss,number theory
Carl Friedrich Gauss,optics
Carl Friedrich Gauss,electrostatics
Carl Friedrich Gauss,mechanics
Carl Friedrich Gauss,geodesy
Carl Friedrich Gauss,differential geometry
Gerardus Mercator,mathematics
Gerardus Mercator,geography
Gerardus Mercator,philosophy
Gerardus Mercator,theology
Gerardus Mercator,cartography
Carl Friedrich Gauss,astronomy
Carl Friedrich Gauss,mathematics
Carl Friedrich Gauss,physics
Carl Friedrich Gauss,algebra
Sophie Germain,mathematics
Sophie Germain,physics
Sophie Germain,philosophy
Sophie Germain,number theory
Sophie Germain,mechanics
Leonhard Euler,astronomy
Leonhard Euler,mathematics
Leonhard Euler,physics
Leonhard Euler,mathematical analysis
Leonhard Euler,logic
Leonhard Euler,number theory
Leonhard Euler,optics
Leonhard Euler,mechanics
Leonhard Euler,graph theory
Leonhard Euler,differential calculus
Leonhard Euler,ballistics
Leonhard Euler,music theory
Leonhard Euler,calculus of variations
Leonhard Euler,shipbuilding
Leonhard Euler,theory of differential equations
Galileo Galilei,astronomy
Galileo Galilei,mathematics
Galileo Galilei,physics
Galileo Galilei,philosophy
Galileo Galilei,mechanics
Nicolaus Copernicus,astronomy
Nicolaus Copernicus,mathematics
Nicolaus Copernicus,economics
Nicolaus Copernicus,mechanics
André-Marie Ampère,electromagnetism
Isaac Newton,astronomy
Isaac Newton,mathematics
Isaac Newton,physics
Isaac Newton,mathematical analysis
Isaac Newton,natural science
Isaac Newton,gravity
Isaac Newton,optics
Isaac Newton,mechanics
Isaac Newton,momentum
Isaac Newton,celestial mechanics
Johann Franz Encke,astronomy
Johann Franz Encke,mathematics
August Ferdinand Möbius,astronomy
August Ferdinand Möbius,mathematics
August Ferdinand Möbius,geometry
August Ferdinand Möbius,number theory
August Ferdinand Möbius,mechanics
Colin MacLaurin,mathematics
Joseph Fourier,mathematics
Joseph Fourier,physics
Joseph Fourier,mathematical analysis
Joseph Fourier,archaeology
Joseph Fourier,African studies
Joseph Fourier,mathematical physics
Joseph Fourier,study of history
Augustin-Louis Cauchy,mathematics
Augustin-Louis Cauchy,mathematical analysis
Augustin-Louis Cauchy,geometry
Augustin-Louis Cauchy,mechanics
Augustin-Louis Cauchy,elasticity theory
Johannes Kepler,astronomy
Johannes Kepler,mathematics
Johannes Kepler,optics
Johannes Kepler,mechanics
Gottfried Wilhelm Leibniz,mathematical analysis
Gottfried Wilhelm Leibniz,Christian apologetics
Wilhelm Schickard,mathematics
Pierre-Simon Laplace,astronomy
Pierre-Simon Laplace,mathematics
Pierre-Simon Laplace,mathematical analysis
Pierre-Simon Laplace,mechanics
Pierre-Simon Laplace,celestial mechanics
Pierre-Simon Laplace,probability theory
Wilhelm Schickard,oriental studies
Carsten Niebuhr,mathematics
Carsten Niebuhr,botany
Carsten Niebuhr,cartography
Georg Simon Ohm,physics
Adolphe Quetelet,mathematics
Christoph Rudolff,algebra
Mikhail Vassilyevich Lomonosov,physics
Mikhail Vassilyevich Lomonosov,chemistry
Mikhail Vassilyevich Lomonosov,philosophy
Mikhail Vassilyevich Lomonosov,metallurgy
Mikhail Vassilyevich Lomonosov,philology
Mikhail Vassilyevich Lomonosov,mineralogy
Mikhail Vassilyevich Lomonosov,natural history
Mikhail Vassilyevich Lomonosov,history
Mikhail Vassilyevich Lomonosov,astronomy
Adam Olearius,history
Adam Olearius,mathematics
Adam Olearius,physics
Johannes Valentinus Andreae,mathematics
Johannes Valentinus Andreae,philosophy
Johannes Valentinus Andreae,literature
Johannes Valentinus Andreae,Protestantism
Johannes Valentinus Andreae,theology
Sebastian Münster,astronomy
Sebastian Münster,mathematics
Sebastian Münster,geography
Sebastian Münster,Reformation
Sebastian Münster,theology
Sebastian Münster,study of the Hebrew language
Maximilian Hell,astronomy
Maximilian Hell,mathematics
Maximilian Hell,physics
Maximilian Hell,natural science
Maximilian Hell,educational system
Franz Ernst Neumann,theoretical physics
Abraham Gotthelf Kästner,mathematics
Johann Christian Martin Bartels,mathematical analysis
Johann Christian Martin Bartels,trigonometry
Johann Christian Martin Bartels,geometry
Johann Christian Martin Bartels,mathematician
Johann Christian Martin Bartels,differential geometry
Giordano Bruno,cosmology
Giordano Bruno,philosophy
Thomas Hobbes,history
Thomas Hobbes,philosophy
Thomas Hobbes,geometry
Thomas Hobbes,ethics
Thomas Hobbes,legal theory
Christiaan Huygens,astronomy
Christiaan Huygens,mathematics
Christiaan Huygens,physics
Christiaan Huygens,mechanics
Karl Mollweide,astronomy
Charles Babbage,mathematics
Charles Babbage,computer science
Charles Babbage,analytic philosophy
Edmond Halley,astronomy
Edmond Halley,astronomer
Edmond Halley,meteorology
Edmond Halley,demography
Edmond Halley,geophysics
