mathematician,university
Carl Friedrich Gauss,Technical University of Braunschweig
Gerardus Mercator,Old University of Leuven
Gerardus Mercator,City Gymnasium
Carl Friedrich Gauss,University of Göttingen
Carl Friedrich Gauss,University of Helmstedt
Sophie Germain,University of Göttingen
Leonhard Euler,University of Basel
Galileo Galilei,University of Pisa
Nicolaus Copernicus,University of Bologna
Nicolaus Copernicus,Jagiellonian University
Nicolaus Copernicus,University of Padua
Nicolaus Copernicus,University of Ferrara
André-Marie Ampère,École polytechnique
Isaac Newton,University of Cambridge
Isaac Newton,Trinity College
Isaac Newton,"The King's School, Grantham"
Johann Franz Encke,Humboldt University of Berlin
Johann Franz Encke,University of Göttingen
Johann Franz Encke,Gelehrtenschule des Johanneums
August Ferdinand Möbius,University of Halle-Wittenberg
August Ferdinand Möbius,University of Göttingen
August Ferdinand Möbius,Leipzig University
August Ferdinand Möbius,Landesschule Pforta
Colin MacLaurin,University of Glasgow
Joseph Fourier,École Normale Supérieure
Joseph Fourier,École normale
Augustin-Louis Cauchy,École des Ponts ParisTech
Augustin-Louis Cauchy,École polytechnique
Augustin-Louis Cauchy,Lycée Henri-IV
Johannes Kepler,University of Tübingen
Johannes Kepler,Tübinger Stift
Johannes Kepler,Evangelical Seminaries of Maulbronn and Blaubeuren
Gottfried Wilhelm Leibniz,University of Jena
Gottfried Wilhelm Leibniz,Leipzig University
Gottfried Wilhelm Leibniz,Alte Nikolaischule (Leipzig)
Gottfried Wilhelm Leibniz,Thomasschule zu Leipzig
Gottfried Wilhelm Leibniz,University of Altdorf
Wilhelm Schickard,University of Tübingen
Pierre-Simon Laplace,University of Caen Normandy
Pierre-Simon Laplace,Q2983840
Wilhelm Schickard,Tübinger Stift
Carsten Niebuhr,University of Göttingen
Georg Simon Ohm,University of Erlangen–Nuremberg
Adolphe Quetelet,Ghent University
Christoph Rudolff,University of Vienna
Mikhail Vassilyevich Lomonosov,Kyiv-Mohyla Academy
Mikhail Vassilyevich Lomonosov,Academic University at the St. Petersburg Academy of Sciences
