mathematician,dob,dod
Carl Friedrich Gauss,1777,1855
Gerardus Mercator,1512,1594
Sophie Germain,1776,1831
Leonhard Euler,1707,1783
Galileo Galilei,1564,1642
Nicolaus Copernicus,1473,1543
André-Marie Ampère,1775,1836
Isaac Newton,1643,1727
Johann Franz Encke,1791,1865
August Ferdinand Möbius,1790,1868
Colin MacLaurin,1698,1746
Joseph Fourier,1768,1830
Augustin-Louis Cauchy,1789,1857
Johannes Kepler,1572,1630
Gottfried Wilhelm Leibniz,1646,1716
Wilhelm Schickard,1592,1635
Pierre-Simon Laplace,1749,1827
Carsten Niebuhr,1733,1815
Georg Simon Ohm,1789,1854
Adolphe Quetelet,1796,1874
Christoph Rudolff,1499,1543
Mikhail Vassilyevich Lomonosov,1711,1765
Adam Olearius,1599,1671
Johannes Valentinus Andreae,1586,1654
Sebastian Münster,1488,1552
Maximilian Hell,1720,1792
Franz Ernst Neumann,1798,1895
Abraham Gotthelf Kästner,1719,1800
Johann Christian Martin Bartels,1769,1836
Giordano Bruno,1548,1600
Thomas Hobbes,1588,1679
Christiaan Huygens,1629,1695
Karl Mollweide,1774,1825
Charles Babbage,1791,1871
Edmond Halley,1656,1742
Johann Sturm,1635,1703
Pierre de Fermat,1607,1665
Michael Maestlin,1550,1631
Jacob Theodor Klein,1685,1759
Regiomontanus,1436,1476
Christian Wolff,1679,1754
René Descartes,1596,1650
Immanuel Kant,1724,1804
Georg Christoph Lichtenberg,1742,1799
Jean-Baptiste Biot,1774,1862
Petrus Apianus,1495,1552
Simon Marius,1573,1625
Christopher Clavius,1538,1612
Athanasius Kircher,1602,1680
Michael Stifel,1487,1567
Johannes Stöffler,1452,1531
Georg Bernhard Bilfinger,1693,1750
Johann Peter Süssmilch,1707,1767
Johann Samuel König,1712,1757
Christian Ludwig Gerling,1788,1864
William Petty,1623,1687
Franz Aepinus,1724,1802
August Ludwig von Schlözer,1735,1809
Peter Andreas Hansen,1795,1874
Johan Gabriel Doppelmayr,1677,1750
René Antoine Ferchault de Réaumur,1683,1757
Thomas Reid,1710,1796
Ludolph van Ceulen,1540,1610
Nicole Oresme,1323,1382
Christoph Gudermann,1798,1852
Johann Friedrich Pfaff,1765,1825
Karl Georg Christian von Staudt,1798,1867
Johann Matthäus Hassencamp,1743,1797
Thomas Fincke,1561,1656
Michael Adelbulner,1702,1779
Johann Friedrich Hennert,1733,1813
Jean-Baptiste Joseph Delambre,1749,1822
Bernard Le Bovier de Fontenelle,1657,1757
Ruđer Josip Bošković,1711,1787
Farkas Bolyai,1775,1856
William Whewell,1794,1866
Vavrinec Benedikt of Nedožery,1555,1615
James Gregory,1638,1675
Étienne-Louis Malus,1775,1812
Thomas Harriot,1560,1621
Guidobaldo del Monte,1545,1607
John Wilson,1741,1793
Adam Adamandy Kochański,1631,1700
Adam Freytag,1602,1650
Louis-Benjamin Francœur,1773,1849
Johann Bernoulli,1667,1748
"Georges-Louis Leclerc, Comte de Buffon",1707,1788
Frans van Schooten,1615,1660
Pierre Méchain,1744,1804
Edward Sabine,1788,1883
William Oughtred,1574,1660
Giovanni Alfonso Borelli,1608,1679
Claude-Louis Navier,1785,1836
"Charles Stanhope, 3rd Earl Stanhope",1753,1816
Gabriel Lamé,1795,1870
Auguste Comte Xavier,1798,1857
John Frederick William Herschel,1792,1871
Giovanni Domenico Cassini,1625,1712
Carl Hindenburg,1741,1808
Christian Samuel Weiss,1780,1856
Heinrich Wilhelm Brandes,1777,1834
Anders Celsius,1701,1744
Georg von Peuerbach,1423,1461
Andreas von Ettingshausen,1796,1878
Christopher Polhem,1661,1751
Jeremiah Horrocks,1617,1641
Willebrord Snellius,1580,1626
Olry Terquem,1782,1862
Johannes de Sacrobosco,1195,1244
Christian August Hausen,1693,1743
Johannes Praetorius,1537,1616
