Node
Carl Friedrich Gauss
Gerardus Mercator
Sophie Germain
Leonhard Euler
Galileo Galilei
Nicolaus Copernicus
André-Marie Ampère
Isaac Newton
August Ferdinand Möbius
Colin MacLaurin
Joseph Fourier
Augustin-Louis Cauchy
Johannes Kepler
Gottfried Wilhelm Leibniz
Wilhelm Schickard
Pierre-Simon Laplace
Georg Simon Ohm
Adolphe Quetelet
Christoph Rudolff
Maximilian Hell
Franz Ernst Neumann
Abraham Gotthelf Kästner
Johann Christian Martin Bartels
Giordano Bruno
Thomas Hobbes
Christiaan Huygens
Karl Mollweide
Charles Babbage
Edmond Halley
Pierre de Fermat
Michael Maestlin
Regiomontanus
René Descartes
Immanuel Kant
Jean-Baptiste Biot
Petrus Apianus
Athanasius Kircher
Michael Stifel
Johann Peter Süssmilch
William Petty
Franz Aepinus
August Ludwig von Schlözer
Johan Gabriel Doppelmayr
René Antoine Ferchault de Réaumur
Thomas Reid
Ludolph van Ceulen
Nicole Oresme
Christoph Gudermann
Johann Friedrich Pfaff
Karl Georg Christian von Staudt
Johann Friedrich Hennert
Ruđer Josip Bošković
Farkas Bolyai
William Whewell
Étienne-Louis Malus
Thomas Harriot
Adam Adamandy Kochański
Johann Bernoulli
"Georges-Louis Leclerc, Comte de Buffon"
Frans van Schooten
Pierre Méchain
William Oughtred
Claude-Louis Navier
Gabriel Lamé
Giovanni Domenico Cassini
Carl Hindenburg
Georg von Peuerbach
Andreas von Ettingshausen
Willebrord Snellius
Olry Terquem
Johannes de Sacrobosco
Charles Dupin
István Hatvani
Jan Śniadecki
Edmund Gunter
Charles Étienne Louis Camus
Edward Waring
Vincenzo Viviani
Michel Chasles
Scipione del Ferro
Robert Recorde
Jacopo Riccati
Johan de Witt
Joseph-Louis Lagrange
Georg Joachim Rheticus
Johann Georg von Soldner
Gilles de Roberval
Louis Poinsot
Maine de Biran
Adhémar Jean Claude Barré de Saint-Venant
Isaac Beeckman
Pierre Varignon
Irénée-Jules Bienaymé
Giovanni Antonio Magini
Elena Cornaro Piscopia
Pedro Nunes
Pietro Mengoli
Joseph Raphson
Nathaniel Bliss
Alexandre-Théophile Vandermonde
Anders Johan Lexell
Jacques Philippe Marie Binet
Anselme Payen
Jean-Marie Duhamel
Erasmus Reinhold
Evangelista Torricelli
John Playfair
Erland Samuel Bring
Samuel Morland
Roger Cotes
George Peacock
Jan Brożek
Willem 's Gravesande
Joseph Sauveur
Nikolai Brashman
Daniel Bernoulli
Jacob Bernoulli
Nikolai Ivanovich Lobachevsky
Jakob Steiner
Nicolaus I Bernoulli
Leonty Magnitsky
Leon Battista Alberti
Gabriel Cramer
Martin Ohm
Robert Woodhouse
Amédée-François Frézier
Johannes Hudde
Nicolas Fuss
Henry Cavendish
John Napier
Caspar Peucer
Thomas Carlyle
Jean-Victor Poncelet
David Brewster
Christopher Wren
Roger Bacon
Brook Taylor
Ernst Chladni
Johann Christian Ludwig Hellwig
Georg Simon Klügel
Bonaventura Cavalieri
Nicolas Chuquet
Richard of Wallingford
Jean le Rond d'Alembert
John Dee
Guillaume de l'Hôpital
François Viète
Marin Mersenne
Siméon Denis Poisson
Adrien-Marie Legendre
Gerolamo Cardano
François Arago
François Budan de Boislaurent
Bernard Bolzano
Emmanuel Swedenborg
Robert Adrain
John Wallis
Thomas Bayes
Abraham de Moivre
Gaspard Monge
Christian Goldbach
Isaac Barrow
Timofei Fedorovic Osipovsky
Pierre-Dominique Bazaine
William Neile
Paul Heinrich Fuss
Heinrich August Rothe
Dénes Kőnig
John Couch Adams
George Biddell Airy
Louis Couturat
Maurice René Fréchet
Issai Schur
James Clerk Maxwell
Emil Artin
Évariste Galois
Emmy Noether
Julius Plücker
Carl David Tolmé Runge
Charles-Ange Laisant
Karl Rohn
Gustav Roch
Sophus Lie
Bertrand Russell
Edmund Husserl
Edmund Landau
Paul Stäckel
Oskar Anderson
Jakob Rosanes
Paul Epstein
Georg Hamel
Leopold Kronecker
Georg Cantor
Walther Bothe
Gustav Herglotz
Theodor Molien
Thomas Alva Edison
Felix Hausdorff
Richard Courant
Gotthold Eisenstein
Hermann Schwarz
Elwin Bruno Christoffel
Hans Rademacher
Hermann Weyl
Alexander Ostrowski
Alfred Pringsheim
Richard Dedekind
Carl Gustav Axel Harnack
Kurt Reidemeister
Emanuel Lasker
Charles Proteus Steinmetz
Erwin Schrödinger
John Maynard Keynes
Ludwig Wittgenstein
Vilfredo Pareto
Adolf Hurwitz
Arthur Scherbius
Carl Ludwig Siegel
Eduard Study
Eugen Netto
Max Dehn
Alfred Clebsch
Arthur Moritz Schoenflies
Ferdinand Georg Frobenius
Wolfgang Krull
Oskar Perron
Otto Hölder
Oscar Schlömilch
Walther von Dyck
Moritz Wilhelm Drobisch
Ludwig Bieberbach
Hermann Hankel
Abraham Fraenkel
Wilhelm Ackermann
Theodor Kaluza
Heinrich Bruns
Philipp Furtwängler
Adolf Kneser
Ernst Kummer
Kurt Hensel
Friedrich Julius Richelot
Heinrich Behnke
David Hilbert
Moritz Pasch
Paul Gordan
Julius Weisbach
Edmond Laguerre
Louis Bachelier
William Rowan Hamilton
Georges Lemaître
Josef Stefan
János Bolyai
Carl Wilhelm Borchardt
Philipp von Jolly
Arthur Korn
Otto Blumenthal
Friedrich Hartogs
Paul Gustav Heinrich Bachmann
Eugène Charles Catalan
Ernst Steinitz
Carl Gustav Jacob Jacobi
Zygmunt Janiszewski
Eduard Heine
Wilhelm Killing
Carl Neumann
Rudolf Lipschitz
Max Noether
Paul du Bois-Reymond
Leopold Löwenheim
Karl Pearson
Willem de Sitter
Edwin Bidwell Wilson
Gregor Mendel
Lewis Carroll
Felice Casorati
Hugo Steinhaus
George Pólya
Heinz Hopf
Jan Łukasiewicz
William James Sidis
Helge von Koch
Pierre Duhem
Leon Chwistek
Oskar Bolza
Friedrich Schur
Gerhard Hessenberg
Friedrich Heinrich Albert Wangerin
Kazimierz Bartel
Albert Châtelet
Francesco Severi
Arend Heyting
Johannes Frischauf
William Threlfall
Otto Haupt
Carl Johannes Thomae
Leon Lichtenstein
Aleksandr Khinchin
William Fogg Osgood
Luigi Amoroso
Marcel Riesz
Moses Schönfinkel
Friedrich Robert Helmert
Otto Toeplitz
Hendrik Lorentz
Bernhard Riemann
Felix Klein
Erhard Schmidt
Leopold Gegenbauer
Paul Funk
Alexander Witting
Milutin Milanković
Adolf Piltz
Arthur Wieferich
Hermann Minkowski
Helmut Hasse
Ernst Zermelo
Johann Benedict Listing
Enrico Betti
Agnes Meyer Driscoll
Pavel Florensky
Eugen Slutsky
D'Arcy Wentworth Thompson
Giuseppe Vitali
Lipót Fejér
Marie Henri Andoyer
Paul Sophus Epstein
Wacław Sierpiński
Ferdinand Minding
Heinrich Schröter
Jacob Lüroth
Georg Joos
Johannes Hjelmslev
Harry Bateman
Tadeusz Banachiewicz
Quintino Sella
Nikolai Chebotaryov
Thoralf Skolem
Eric Temple Bell
Max Born
Veniamin Kagan
Sergey Chaplygin
John G. Bennett
William Sealy Gosset
Victor Puiseux
Cesare Burali-Forti
Giuseppe Veronese
G. N. Watson
Nicolas Rashevsky
Gregorio Ricci-Curbastro
Luigi Cremona
Simion Stoilow
Carl Størmer
Carlo Emilio Bonferroni
Leonard Eugene Dickson
Kikuchi Dairoku
Eugenio Elia Levi
Boris Galerkin
Boris Delaunay
Gottlob Frege
Gustav Kirchoff
Carl-Gustaf Rossby
Henri Poincaré
Otto Hesse
Prasanta Chandra Mahalanobis
Srinivasa Ramanujan
"John Strutt, 3rd Baron Rayleigh"
Louis de Broglie
Paul Ehrenfest
William Henry Fox Talbot
Harald Bohr
Camille Jordan
Marston Morse
Poul Heegaard
Robert Fricke
Friedrich Wilhelm Levi
Dietrich Mahnke
Beppo Levi
William Kingdon Clifford
Griffith C. Evans
Percy John Daniell
Wilhelm Blaschke
Gerhard Kowalewski
Erich Kamke
Hermann Rothe
Ernst Leonard Lindelöf
Øystein Ore
Emil Weyr
Alfred Tauber
Philipp Frank
Christian Wiener
Robert Lee Moore
Heinrich Martin Weber
Hellmuth Kneser
Frank Morley
Rodion Kuzmin
Oswald Veblen
Salvatore Pincherle
Jacques Bertillon
Boris Yakovlevich Bukreev
Balthasar van der Pol
Mikhail Ostrogradsky
Gösta Mittag-Leffler
Federigo Enriques
Isaac Todhunter
Ulisse Dini
Max Newman
Evgeny Yakovlevich Remez
John Lighton Synge
Dmitrii Menshov
John Lennard-Jones
Mario Pieri
Jørgen Pedersen Gram
Josip Plemelj
Gaston Julia
Antoine Augustin Cournot
Vladimir Ignatowski
Gustav von Escherich
Ferdinand von Lindemann
Hermann Grassmann
Szolem Mandelbrojt
Georgy Voronoy
Gaston Bachelard
Édouard Goursat
Édouard Lucas
Élie Cartan
Arnold Sommerfeld
Robert Daniel Carmichael
Abram Samoilovitch Besicovitch
Georg Alexander Pick
Johann Radon
Włodzimierz Stożek
Pyotr Lavrov
Max Mason
Maxime Bôcher
Fritz Gassmann
Alexander Weinstein
Émile Lemoine
Émile Léonard Mathieu
Charles Émile Picard
John Edensor Littlewood
Jacob Tamarkin
Béla Kerékjártó
Henry Burchard Fine
Johannes van der Corput
Ronald Ross
Felix Auerbach
Tullio Levi-Civita
Dorothy Maud Wrinch
Joseph Wedderburn
Ludwig Schläfli
Mathias Lerch
Otto Stolz
James Joseph Sylvester
Aleksandr Lyapunov
Jesse Douglas
Joseph Louis François Bertrand
James Hopwood Jeans
Richard C. Tolman
Buckminster Fuller
Ferdinand Rudio
Emil Leon Post
Auguste Bravais
Bronisław Knaster
Pierre Fatou
James Waddell Alexander II
Erich Hecke
Axel Thue
Arnold Walfisz
Stanisław Saks
Karl Weissenberg
Alfred Brauer
Alfred Loewy
Guido Fubini
Satyendra Nath Bose
