university,count
Moscow State University,249
University of Göttingen,210
MSU Faculty of Mechanics and Mathematics,178
University of Cambridge,165
Harvard University,135
University of Paris,126
Humboldt University of Berlin,119
Princeton University,107
École Normale Supérieure,100
Trinity College,89
Saint Petersburg State University,86
University of Chicago,84
University of Vienna,78
Faculty of Physics and Mathematics of Moscow Imperial University,75
École polytechnique,73
Leipzig University,71
Columbia University,59
Massachusetts Institute of Technology,50
Charles University,49
Frederick William University,49
University of Warsaw,48
Ludwig Maximilian University of Munich,47
"University of California, Berkeley",45
St John's College,44
Heidelberg University,43
University of Oxford,42
University of Michigan,41
Faculty of Physics and Mathematics of the Saint Petersburg University,41
Jagiellonian University,40
Sapienza University of Rome,40
Leiden University,40
University of Wrocław,37
Eötvös Loránd University,35
"Mathematics and Mechanics Faculty, St. Petersburg State University",35
Science Faculty of Paris,35
Lviv University,34
ETH Zürich,33
University of London,33
University of Königsberg,32
Yale University,31
University of Halle-Wittenberg,31
University of Helsinki,29
University of Tübingen,28
University of Tokyo,28
University of Hamburg,28
University of Edinburgh,26
University of Pisa,26
University of Amsterdam,25
University of Illinois at Urbana–Champaign,25
Scuola Normale Superiore,25
University of Padua,24
Taras Shevchenko National University of Kyiv,24
University of Copenhagen,24
University of Bonn,24
Cornell University,23
Johns Hopkins University,23
Brown University,23
Hebrew University of Jerusalem,22
Odesa University,22
Steklov Institute of Mathematics,21
California Institute of Technology,21
University of Jena,21
New York University,20
University of Bucharest,20
University of Wisconsin–Madison,20
City College of New York,19
Uppsala University,19
University of Strasbourg,19
University of Oslo,19
Kazan Federal University,19
University of Turin,19
University of Bologna,18
University of Marburg,18
MSU Faculty of Physics,18
Stockholm University,18
University of Münster,18
National University of Kharkiv,18
Stanford University,18
Lycée Louis-le-Grand,17
University College London,17
University of Toronto,16
University of Pennsylvania,16
University of Erlangen–Nuremberg,16
University of Texas at Austin,16
University of Freiburg,15
University of Basel,14
"University of California, Los Angeles",14
"Faculty of Mechanics and Mathematics, Taras Shevchenko National University of Kyiv",14
Goethe University Frankfurt,14
Balliol College,14
