Source,Target,Weight
"""algebra""","""absolute differential calculus""",3
"""analysis""","""absolute differential calculus""",5
"""applied mathematics""","""absolute differential calculus""",1
"""calculus""","""absolute differential calculus""",9
"""complex analysis""","""absolute differential calculus""",4
"""differential calculus""","""absolute differential calculus""",9
"""differential geometry""","""absolute differential calculus""",4
"""geometry""","""absolute differential calculus""",7
"""infinitesimal analysis""","""absolute differential calculus""",1
"""mathematical physics""","""absolute differential calculus""",2
"""measure theory""","""absolute differential calculus""",1
"""potential theory""","""absolute differential calculus""",1
"""tensor""","""absolute differential calculus""",7
"""algebra""","""absolute geometry""",1
"""applied mathematics""","""absolute geometry""",1
"""arithmetic""","""absolute geometry""",2
"""calculus""","""absolute geometry""",1
"""geometry""","""absolute geometry""",3
"""hyperbolic geometry""","""absolute geometry""",1
"""number theory""","""absolute geometry""",1
"""additive number theory""","""abstract algebra""",2
"""algebra""","""abstract algebra""",65
"""algebraic geometry""","""abstract algebra""",13
"""algebraic number theory""","""abstract algebra""",4
"""algebraic topology""","""abstract algebra""",4
"""analysis""","""abstract algebra""",29
"""analytic geometry""","""abstract algebra""",4
"""analytic number theory""","""abstract algebra""",2
"""applied mathematics""","""abstract algebra""",4
"""arithmetic""","""abstract algebra""",11
"""arithmetic geometry""","""abstract algebra""",1
"""birational geometry""","""abstract algebra""",1
"""calculus""","""abstract algebra""",18
"""calculus of variations""","""abstract algebra""",3
"""class field theory""","""abstract algebra""",6
"""classical invariant theory""","""abstract algebra""",1
"""combinatorial topology""","""abstract algebra""",1
"""combinatorics""","""abstract algebra""",8
"""commutative algebra""","""abstract algebra""",4
"""complex analysis""","""abstract algebra""",5
"""conformal geometry""","""abstract algebra""",1
"""differential calculus""","""abstract algebra""",2
"""differential geometry""","""abstract algebra""",11
"""differential geometry of curves""","""abstract algebra""",2
"""elementary arithmetic""","""abstract algebra""",1
"""elimination theory""","""abstract algebra""",1
"""elliptic geometry""","""abstract algebra""",1
"""euclidean geometry""","""abstract algebra""",2
"""exterior algebra""","""abstract algebra""",1
